Artist,title,lyrics
David Bowie,moonage daydream,"im an alligator<c> im a mamapapa coming for you<c> im a space invader<c> ill be a rock n rollin bitch for you<c> keep your mouth shut<c> youre squawking like a pink monkey bird<c> and im busting up my brains for the words<c> keep your lectric eye on me, babe<c> put your ray gun to my head<c> press your space face close to mine, love<c> freak out in a moonage daydream, oh yeah<c> dont fake it, baby<c> lay the real thing on me<c> the church of man, love<c> is such a holy place to be<c> make me, baby<c> make me know you really care<c> make me jump into the air<c> keep your lectric eye on me, babe<c> put your ray gun to my head<c> press your space face close to mine, love<c> freak out in a moonage daydream, oh yeah<c> keep your lectric eye on me, babe<c> put your ray gun to my head<c> press your space face close to mine, love<c> freak out in a moonage daydream, oh<c> keep your lectric eye on me, babe<c> keep your lectric eye on me, babe<c> lectric eye on me babe<c> put your ray gun to my head<c> put your ray gun to my head<c> ray gun to my head<c> press your space face close to mine, love<c> press your space face close to mine, love<c> press your space face close to mine, love<c> freak out in a moonage daydream, oh yeah<c> freak out in a moonage daydream, oh yeah<c> freak out in a moonage daydream<c> oh yeah, oh yeah, oh yeah, oh yeah, oh yeah...<c> freak out freak out, freak out, freak out, freak out...<c> far out far out, far out, far out, far out...<c> in out in out, in out, in out, in out...31embedshare urlcopyembedcopy"
David Bowie,ziggy stardust,"oh yeah<c> now ziggy played guitar<c> jamming good with weird and gilly<c> and the spiders from mars<c> he played it left hand<c> but made it too far<c> became the special man<c> then we were ziggys band<c> ziggy really sang<c> screwed up eyes and screwed down hairdo<c> like some cat from japan<c> he could lick em by smiling<c> he could leave em to hang<c> he came on so loaded, man,<c> well hung, snow white tan<c> so where were the spiders<c> while the fly tried to break our balls?<c> just the beer light to guide us<c> so we bitched about his fans<c> and should we crush his sweet hands?<c> oh yeah<c> ziggy played for time<c> jiving us that we were voodoo<c> the kids was just crass<c> he was the naz<c> with godgiven ass<c> he took it all too far<c> but boy, could he play guitar<c> making love with his ego<c> ziggy sucked up into his mind ah<c> like a leper messiah<c> when the kids had killed a man<c> i had to break up the band<c> oh yeah<c> ooh<c> ziggy played guitar17embedshare urlcopyembedcopy"
David Bowie,modern love,"i know when to go out<c> and when to stay in<c> get things done<c> i catch the paper boy<c> but things dont really change<c> im standing in the wind<c> but i never wave byebye<c> but i try<c> i try<c> theres no sign of life<c> its just the power to charm<c> im lying in the rain<c> but i never wave byebye<c> but i try<c> i try<c> never going to fall for<c> modern love walks beside me<c> modern love walks on by<c> modern love gets me to the church on time<c> church on time terrifies me<c> church on time makes me party<c> church on time puts my trust in god and man<c> god and man no confessions<c> god and man no religion<c> god and man dont believe in modern love<c> its not really work<c> its just the power to charm<c> im still standing in the wind<c> but i never wave bye bye<c> but i try<c> i try<c> never going to fall for<c> modern love walks beside me<c> modern love walks on by<c> modern love gets me to the church on time<c> church on time terrifies me<c> church on time makes me party<c> church on time puts my trust in god and man<c> god and man no confessions<c> god and man no religion<c> god and man dont believe in modern love<c> modern love walks beside me<c> modern love walks on by<c> modern love gets me to the church on time<c> church on time terrifies me<c> church on time makes me party<c> church on time puts my trust in god and man<c> god and man no confessions<c> god and man no religion<c> god and man dont believe in modern love<c> modern love, modern love, modern love, modern love<c> modern love, modern love, modern love, modern love<c> modern love, modern love, modern love, modern love<c> modern love, modern love, modern love, modern love<c> modern love, walks beside me modern love<c> modern love, walks on by modern love<c> modern love, walks beside me modern love<c> modern love, walks on by modern love<c> never gonna fall for<c> modern love, modern love, modern love, modern love14embedshare urlcopyembedcopy"
David Bowie,five years,"pushing through the market square<c> so many mothers sighing<c> news had just come over<c> we had five years left to cry in cry in<c> news guy wept and told us<c> earth was really dying dying<c> cried so much his face was wet<c> then i knew he was not lying lying<c> i heard telephones, opera house, favourite melodies<c> i saw boys, toys, electric irons and tvs<c> my brain hurt like a warehouse, it had no room to spare<c> i had to cram so many things to store everything in there<c> and all the fat, skinny people<c> and all the tall, short people<c> and all the nobody people<c> and all the somebody people<c> i never thought id need so many people<c> a girl my age went off her head<c> hit some tiny children<c> if the black hadnt have pulled her off<c> i think she would have killed them<c> a soldier with a broken arm<c> fixed his stare to the wheels of a cadillac<c> a cop knelt and kissed the feet of a priest<c> and a queer threw up at the sight of that<c> i think i saw you in an icecream parlour<c> drinking milkshakes cold and long<c> smiling and waving and looking so fine<c> dont think you knew you were in this song<c> and it was cold and it rained, so i felt like an actor<c> and i thought of ma and i wanted to get back there<c> your face, your race<c> the way that you talk<c> i kiss you, youre beautiful<c> i want you to walk<c> weve got five years, stuck on my eyes<c> five years, what a surprise<c> weve got five years, my brain hurts a lot<c> five years, thats all weve got<c> weve got five years, what a surprise<c> five years, stuck on my eyes<c> weve got five years, my brain hurts a lot<c> five years, thats all weve got<c> weve got five years, stuck on my eyes<c> five years, what a surprise<c> weve got five years, my brain hurts a lot<c> five years, thats all weve got<c> weve got five years, what a surprise<c> weve got five years, stuck on my eyes<c> weve got five years, my brain hurts a lot<c> five years, thats all weve got<c> five years<c> five years<c> five years<c> five years30embedshare urlcopyembedcopy"
David Bowie,tis a pity she was a whore,"
man, she punched me like a dude<c> hold your mad hands, i cried<c> tis a pity she was a whore<c> tis my curse, i suppose<c> that was patrol<c> that was patrol<c> this is the war<c> black struck the kiss, she kept my cock<c> smote the mistress, drifting on<c> tis a pity she was a whore<c> she stole my purse, with rattling speed<c> that was patrol<c> this is the war<c> tis a pity she was a whore<c> man, she punched me like a dude<c> hold your mad hands, i cried<c> tis a pity she was a whore<c> tis my fate, i suppose<c> for, that was patrol<c> that was patrol<c> tis a pity she was a whore<c> tis a pity she was a whore<c> woo<c> ahh woo<c> woo14embedshare urlcopyembedcopy"
David Bowie,i cant give everything away,"i know somethings very wrong<c> the pulse returns the prodigal sons<c> the blackout hearts, the flowered news<c> with skull designs upon my shoes<c> i cant give everything<c> i cant give everything away<c> i cant give everything away<c> seeing more and feeling less<c> saying no but meaning yes<c> this is all i ever meant<c> thats the message that i sent<c> i cant give everything<c> i cant give everything away<c> i cant give everything away<c> i cant give everything<c> i cant give everything away<c> i cant give everything away<c> i know somethings very wrong<c> the pulse returns the prodigal sons<c> the blackout hearts, the flowered news<c> with skull designs upon my shoes<c> i cant give everything<c> i cant give everything away<c> i cant give everything away<c> i cant give everything<c> i cant give everything away<c> i cant give everything away18embedshare urlcopyembedcopy"
David Bowie,rock n roll suicide,"time takes a cigarette, puts it in your mouth<c> you pull on your finger, then another finger, then your cigarette<c> the walltowall is calling, it lingers, then you forget<c> oh oh, oh, oh, youre a rock n roll suicide<c> youre too old to lose it, too young to choose it<c> and the clock waits so patiently on your song<c> you walk past a cafe but you dont eat when youve lived too long<c> oh, no, no, no, youre a rock n roll suicide<c> chev brakes are snarling as you stumble across the road<c> but the day breaks instead so you hurry home<c> dont let the sun blast your shadow<c> dont let the milk float ride your mind<c> youre so natural  religiously unkind<c> oh no, love youre not alone<c> youre watching yourself but youre too unfair<c> you got your head all tangled up<c> but if i could only make you care<c> oh no, love youre not alone<c> no matter what or who youve been<c> no matter when or where youve seen<c> all the knives seem to lacerate your brain<c> ive had my share, ill help you with the pain<c> youre not alone<c> just turn on with me and youre not alone<c> lets turn on and be not alone wonderful<c> gimme your hands cause youre wonderful wonderful<c> gimme your hands cause youre wonderful wonderful<c> oh, gimme your hands23embedshare urlcopyembedcopy"
David Bowie,dollar days,"cash girls suffer me, ive got no enemies<c> im walking down<c> its nothing to me<c> its nothing to see<c> if ill never see the english evergreens im running to<c> its nothing to me<c> its nothing to see<c> im dying to<c> push their backs against the grain<c> and fool them all again and again<c> im trying to<c> we bitches tear our magazines<c> those oligarchs with foaming mouths come<c> now and then<c> cant believe for just one second im forgetting you<c> im trying to<c> im dying to<c> dollar days, survival sex<c> honour stretching tails to necks<c> im falling down<c> its nothing to me<c> its nothing to see<c> if ill never see the english evergreens im running to<c> its nothing to me<c> its nothing to see<c> im dying to<c> push their backs against the grain<c> and fool them all again and again<c> im trying to<c> its all gone wrong but on and on<c> the bitter nerve ends never end<c> im falling down<c> dont believe for just one second im forgetting you<c> im trying to<c> im dying to<c> im trying to<c> im dying to<c> im trying to<c> im dying to<c> im trying to<c> im dying to<c> im trying to<c> im dying to12embedshare urlcopyembedcopy"
David Bowie,rebel rebel,"doo doo doodoo doo doodoo doo<c> doo doo doodoo doo doodoo doo<c> doo doo doodoo doo doodoo doo<c> youve got your mother in a whirl<c> shes not sure if youre a boy or a girl<c> hey, babe, your hairs alright<c> hey, babe, lets go out tonight<c> you like me and i like it all<c> we like dancing and we look divine<c> you love bands when theyre playing hard<c> you want more and you want it fast<c> they put you down, they say im wrong<c> you tacky thing, you put them on<c> rebel rebel, youve torn your dress<c> rebel rebel, your face is a mess<c> rebel rebel, how could they know?<c> hot tramp, i love you so<c> bridge
dont ya?<c> doo doo doodoo doo doodoo doo<c> youve got your mother in a whirl<c> cause shes not sure if youre a boy or a girl<c> hey, babe, your hairs alright<c> hey, babe, lets stay out tonight<c> you like me and i like it all<c> we like dancing and we look divine<c> you love bands when theyre playing hard<c> you want more and you want it fast<c> they put you down, they say im wrong<c> you tacky thing, you put them on<c> rebel rebel, youve torn your dress<c> rebel rebel, your face is a mess<c> rebel rebel, how could they know?<c> hot tramp, i love you so<c> dont ya?<c> ooh<c> doo doo doodoo doo doodoo doo<c> doo doo doodoo doo doodoo doo<c> rebel rebel, youve torn your dress<c> rebel rebel, your face is a mess<c> rebel rebel, how could they know?<c> hot tramp, i love you so dont ya?<c> youve torn your dress, your face is a mess<c> you cant get enough, but enough aint the test<c> youve got your transmission and your live wire<c> you got your cue line and a handful of ludes<c> you wanna be there when they count up the dudes<c> and i love your dress<c> youre a juvenile success<c> because your face is a mess<c> so how could they know?<c> i said, how could they know?<c> so what you wanna know?<c> calamitys child, chichi, chichi<c> whered you wanna go?<c> what can i do for you? looks like ive been there too<c> cause youve torn your dress<c> and your face is a mess<c> ooh, your face is a mess<c> ooh, ooh, so how could they know?<c> ah, ah, how could they know?<c> ah, ah15embedshare urlcopyembedcopy"
David Bowie,young americans,"they pulled in just behind the bridge<c> he lays her down, he frowns<c> gee, my lifes a funny thing<c> am i still too young?<c> he kissed her then and there<c> she took his ring, took his babies<c> it took him minutes, took her nowhere<c> heaven knows, shed have taken anything, but<c> all night<c> she wants the young american<c> young american, young american<c> she wants the young american<c> all right<c> she wants the young american<c> scanning life through the picture window<c> she finds the slinky vagabond<c> he coughs as he passes her ford mustang<c> but heaven forbid, shell take anything<c> but the freak, and his type, all for nothing<c> he misses a step and cuts his hand, but<c> showing nothing, he swoops like a song<c> she cries where have all papas heroes gone?<c> all night<c> she wants the young american<c> young american, young american<c> she wants the young american<c> all right<c> but she wants the young american<c> all the way from washington<c> her breadwinner begs off the bathroom floor<c> we live for just these twenty years<c> do we have to die for the fifty more?<c> all night<c> he wants the young american<c> young american, young american<c> he wants the young american<c> all right all right<c> he wants the young american<c> do you remember, your president nixon?<c> do you remember, the bills you have to pay?<c> or even yesterday?<c> have you been the unamerican?<c> just you and your idol sing falsetto<c> bout leather, leather everywhere<c> and not a myth left from the ghetto<c> well, well, well, would you carry a razor<c> in case, just in case of depression?<c> sit on your hands on a bus of survivors<c> blushing at all the afrosheeners<c> aint that close to love?<c> well, aint that poster love?<c> well, it aint that barbie doll<c> her hearts been broken just like you and<c> all night<c> all night, you want the young american<c> young american young american<c> you want the young american all right<c> all right<c> you want the young american<c> you aint a pimp and you aint a hustler<c> a pimps got a cadi and a lady got a chrysler<c> blacks got respect, and whites got his soul train<c> mamas got cramps, and look at your hands ache<c> i heard the news today, oh boy<c> i got a suite and you got defeat<c> aint there a man who can say no more?<c> and aint there a woman i can sock on the jaw?<c> and, aint there a child i can hold without judging?<c> aint there a pen that will write before they die?<c> aint you proud that youve still got faces?<c> aint there one damn song that can make me break down and cry?<c> all night<c> i want the young american<c> young american young american<c> i want the young american<c> all right<c> i want the young american, young american<c> young american, young american<c> i want the young american<c> all night<c> you want i, i want you<c> young american, young american<c> i want the young american<c> all right<c> all i want is the young american<c> young american, young american<c> i want the young american<c> all night11embedshare urlcopyembedcopy"
