Artist,title,lyrics
Eric Clapton,old love,"i can feel your body<c> when im lying in bed<c> too much confusion<c> going around through my head<c> and it makes me so angry<c> to know that the flame still burns<c> why cant i get over?<c> when will i ever learn?<c> old love, leave me alone<c> old love, go on home<c> i can see your face<c> but i know that its not real<c> just an illusion<c> caused by how i used to feel<c> and it makes me so angry<c> to know that the flame will alway burn<c> ill never get over<c> i know now that ill never learn<c> old love, leave me alone<c> old love, go on home1embedshare urlcopyembedcopy"
Eric Clapton,promises,"i dont care if you never come home<c> i dont mind if you just keep on<c> rowing away on a distant sea<c> because i dont love you and you dont love me<c> you cause a commotion when you come to town<c> you give them a smile and they melt<c> having lovers and friends is all good and fine<c> but i dont like yours and you dont like mine<c> la la, la la la la la<c> la la, la la la la la<c> i dont care what you do at night<c> oh, and i dont care how you get your delights<c> i will leave you alone, i will just let it be<c> i dont love you and you dont love me<c> i got a problem. can you relate?<c> i got a woman calling love hate<c> we made a vow wed always be friends<c> how could we know that promises end?<c> la la, la la la la la<c> la la, la la la la la<c> i tried to love you for years upon years<c> you refuse to take me for real<c> its time you saw what i want you to see<c> and i would still love you, if youd just love me<c> i got a problem. can you relate?<c> i got a woman calling love hate<c> we made a vow wed always be friends<c> how could we know that promises end?<c> la la, la la la la la<c> la la, la la la la la1embedshare urlcopyembedcopy"
Eric Clapton,before you accuse me,"before you accuse me, take a look at yourself<c> before you accuse me, take a look at yourself<c> you say ive been spending my money on other women<c> taking money from someone else<c> i called your mama about three or four nights ago<c> i called your mama about three or four nights ago<c> well your mama said, son, dont call my daughter no more<c> before you accuse me, take a look at yourself<c> before you accuse me, take a look at yourself<c> you say ive been spending my money on other women<c> youve been taking money from someone else<c> come back home, baby, try my love one more time<c> come back home, baby, try my love one more time<c> you know i dont know how to quit you, im gonna lose my mind<c> before you accuse me, take a look at yourself<c> before you accuse me, take a look at yourself<c> you say ive been spending my money on other women<c> youre taking money from someone else1embedshare urlcopyembedcopy"
Eric Clapton,little wing,"well shes walking through the clouds<c> with a circus mind thats running round<c> butterflies and zebras, fairy tales<c> thats all she ever thinks about<c> when im sad she comes to me<c> with a thousand smiles she gives to me free<c> said, its all right<c> take anything you want<c> anything you want, anything.<c> well shes walking through the clouds<c> with a circus mind thats running round<c> butterflies and zebras, fairy tales<c> thats all she ever thinks about<c> when im sad she comes to me<c> with a thousand smiles she gives to me free<c> said, its all right<c> take anything you want<c> anything you want, anything.<c> fly on, little wingembedshare urlcopyembedcopy"
Eric Clapton,have you ever loved a woman,"have you ever loved a woman?<c> so much you tremble in pain?<c> have you ever loved a woman><c> so much you tremble in pain?<c> and all the time you know<c> she bears another man his name<c> but you just love that woman<c> so much, its a shame and a sin<c> you just love that woman<c> so much, its a shame and a sin<c> but all the time you know<c> she belongs to your very best friend<c> have you ever loved a woman?<c> and you know you cannot leave her alone?<c> have you ever loved a woman?<c> and you know you cannot leave her alone?<c> something deep inside of you<c> will not let you wreck your best friends home1embedshare urlcopyembedcopy"
Eric Clapton,its in the way that you use it,"its in the way that you use it<c> it comes and it goes<c> its in the way that you use it<c> boy dont you know<c> and if you lie you will lose it<c> feelings will show<c> so dont you ever abuse it<c> dont let it go<c> nobodys right until somebodys wrong<c> nobodys weak until somebodys strong<c> no one gets lucky until luck comes along<c> nobodys lonely until somebodys gone<c> its in the way that you use it<c> it comes and it goes<c> its in the way that you use it<c> boy dont you know<c> its in the way that you use it<c> it comes and it goes<c> its in the way that you use it<c> boy dont you know<c> and if you lie you will lose it<c> feelings will show<c> so dont you ever abuse it<c> dont let it go<c> ive seen dark skies, never like this<c> walked on some thin ice, never like this<c> ive told you white lies, never like this<c> looked into true eyes, never like this<c> its in the way that you use it<c> boy dont you know<c> its in the way that you use it<c> boy dont you know2embedshare urlcopyembedcopy"
Eric Clapton,circus,"little man with his eyes on fire<c> and his smile so bright<c> in his hands are the toys you gave<c> to fill his heart with delight<c> and in the ring stands a circus clown<c> holding up a knife<c> what you see and what you will hear<c> will last you for the rest of your life<c> and its sad, so sad<c> there aint no easy way round<c> and its sad, so sad<c> all you friends gather round<c> because the circus left town<c> little man with his heart so pure<c> and his love so fine<c> stick with me and ill ride with you<c> til the end of the line<c> hold my hand and ill walk with you<c> through the darkest night<c> and when i smile, ill be thinking of you<c> and every little thing will be all right<c> the circus left town, left town<c> the circus left town, left townembedshare urlcopyembedcopy"
Eric Clapton,magnolia,"whippoorwill singing<c> soft summer breeze<c> makes me think of my baby<c> i left down in new orleans<c> i left down in new orleans<c> magnolia, you sweet thing<c> youre driving me mad<c> gotta get back to you, babe<c> youre the best i ever had<c> youre the best i ever had<c> you whisper good morning<c> so gently in my ear<c> im coming home to you, babe<c> ill soon be there<c> ill soon be there<c> magnolia, you sweet thing<c> youre driving me mad<c> ive gotta get back to you, babe<c> youre the best i ever had<c> youre the best i ever had<c> youre the best i ever had<c> youre the best i ever had<c> youre the best i ever had<c> youre the best i ever had1embedshare urlcopyembedcopy"
Eric Clapton,crossroads,"i went down to the crossroads<c> fell down on my knees<c> i went down to the crossroads<c> fell down on my knees<c> asked the lord above for mercy<c> save me, if you please<c> i went down to the crossroads<c> tried to flag a ride<c> i went down to the crossroads<c> tried to flag a ride<c> nobody seemed to know me<c> everybody passed me by<c> i am going down to rosedale<c> take my rider by my side<c> i am going down to rosedale<c> take my rider by my side<c> you can still barrelhouse, baby<c> on the riverside<c> you can run, you can run<c> tell my friendboy willie brown<c> you can run, you can run<c> tell my friendboy willie brown<c> and i am standing at the crossroads<c> believe i am sinking down2embedshare urlcopyembedcopy"
Eric Clapton,pretending,"how many times must we tell the tale?<c> how many times must we fall?<c> living in lost memory<c> you just recalled<c> working on the sound of the band<c> trying to get the music right<c> two go out working<c> three stay home at night<c> thats when she said she was pretending<c> like she knew the plan<c> thats when i knew she was pretending<c> pretending to understand<c> pretending, pretending<c> pretending, pretending<c> satisfied but lost in love<c> situations change<c> youre never who you used to think you are<c> how strange<c> i get lost in alibis<c> sadness cannot prevail<c> everybody knows strong love<c> cant fail<c> dont be pretending about how you feel<c> dont be pretending that your love is real<c> dont be pretending about how you feel<c> dont be pretending that your love is real<c> pretending, pretending<c> pretending, pretendingembedshare urlcopyembedcopy"
